make,model,wh_km,capacity_kwh
ZEEKR,001 PERFORMANCE AWD,186,94.00
PORSCHE,TAYCAN SPORT TURISMO,187,71.00
MERCEDES,EQA 300 4MATIC,187,66.50
MERCEDES,EQA 350 4MATIC,187,66.50
GENESIS,G80 ELECTRIFIED LUXURY,188,82.50
SMART,#3 BRABUS,188,62.00
ZEEKR,001 PRIVILEGE AWD,188,94.00
SMART,#1 PRO,188,47.00
NISSAN,ARIYA 63KWH,188,63.00
PORSCHE,TAYCAN PLUS SPORT TURISMO,188,83.70
PORSCHE,TAYCAN TURBO,188,83.70
VOLVO,C40 RECHARGE SINGLE MOTOR ER,188,79.00
TOYOTA,BZ4X FWD,188,64.00
LEXUS,UX 300E,188,64.00
AUDI,Q4 E-TRON 40,189,76.60
XPENG,G9 RWD STANDARD RANGE,190,75.80
FORD,MUSTANG MACH-E ER RWD,190,91.00
PEUGEOT,E-3008 73 KWH,190,73.00
GENESIS,GV60 PREMIUM,190,74.00
HYUNDAI,IONIQ 5 LONG RANGE 2WD,190,74.00
POLESTAR,4 LONG RANGE SINGLE MOTOR,190,94.00
PORSCHE,TAYCAN 4 CROSS TURISMO,190,83.70
PORSCHE,TAYCAN 4S CROSS TURISMO,190,83.70
AIWAYS,U5,190,60.00
FORD,MUSTANG MACH-E SR RWD,191,72.60
BMW,I5 M60 XDRIVE SEDAN,191,81.20
VOLVO,XC40 RECHARGE SINGLE MOTOR,191,66.00
AUDI,Q4 SPORTBACK E-TRON 50 QUATTRO,192,76.60
MG,MARVEL R,192,70.00
PORSCHE,TAYCAN 4S SPORT TURISMO,192,71.00
HYUNDAI,IONIQ 5 LONG RANGE AWD,192,74.00
BMW,IX3,192,74.00
MERCEDES,EQB 300 4MATIC,193,66.50
MERCEDES,EQB 350 4MATIC,193,66.50
MG,MG4 ELECTRIC XPOWER,193,61.70
SSANGYONG,KORANDO E-MOTION,193,56.00
NISSAN,ARIYA 87KWH,193,87.00
SMART,#1 PULSE,194,62.00
XPENG,G9 RWD LONG RANGE,194,93.10
PEUGEOT,E-3008 98 KWH LONG RANGE,194,98.00
PORSCHE,TAYCAN 4S PLUS SPORT TURISMO,195,83.70
PORSCHE,TAYCAN TURBO S,195,83.70
GENESIS,GV60 SPORT,195,74.00
MERCEDES,EQE AMG 43 4MATIC,195,90.60
MERCEDES,EQE AMG 53 4MATIC+,195,90.60
AUDI,Q4 E-TRON 45 QUATTRO,195,77.00
AUDI,Q4 E-TRON 55 QUATTRO,195,77.00
VOLVO,XC40 RECHARGE SINGLE MOTOR ER,195,79.00
MASERATI,GRANTURISMO FOLGORE,195,83.00
BMW,I7 EDRIVE50,196,101.70
SERES,3,196,51.00
SMART,#1 BRABUS,197,62.00
PORSCHE,TAYCAN GTS SPORT TURISMO,197,83.70
PORSCHE,TAYCAN TURBO CROSS TURISMO,197,83.70
BMW,IX XDRIVE40,197,71.00
PEUGEOT,E-3008 73 KWH DUAL MOTOR,197,73.00
FISKER,OCEAN SPORT,197,75.00
VOLVO,C40 RECHARGE TWIN MOTOR,198,79.00
AUDI,Q4 E-TRON 50 QUATTRO,199,76.60
FISKER,OCEAN ULTRA,199,106.50
BMW,I7 XDRIVE60,199,101.70
SUBARU,SOLTERRA AWD,200,64.00
MERCEDES,EQT 200 STANDARD,200,45.00
TESLA,MODEL X DUAL MOTOR,200,95.00
LEXUS,RZ 450E,200,64.00
MG,MARVEL R PERFORMANCE,200,70.00
AUDI,Q8 E-TRON SPORTBACK 50 QUATTRO,200,89.00
NISSAN,TOWNSTAR EV PASSENGER,200,45.00
XPENG,G9 AWD PERFORMANCE,200,93.10
